0.01,0,10,0,0
0,1.5e-06,9.99985,5e-07,0.00995
0.01,4.00003e-06,9.9996,1.00099e-06,0.0198999
0.02,7.50013e-06,9.99925,1.50398e-06,0.0298496
0.03,1.20004e-05,9.9988,2.00995e-06,0.039799
0.04,1.75008e-05,9.99825,2.5199e-06,0.049748
0.05,2.40016e-05,9.9976,3.03483e-06,0.0596965
0.06,3.15028e-05,9.99685,3.55573e-06,0.0696444
0.07,4.00046e-05,9.996,4.08361e-06,0.0795916
0.08,4.95071e-05,9.99505,4.61944e-06,0.0895381
0.09,6.00104e-05,9.994,5.16425e-06,0.0994836
0.1,7.15149e-05,9.99285,5.71902e-06,0.109428
0.11,8.40206e-05,9.9916,6.28475e-06,0.119372
0.12,9.75278e-05,9.99025,6.86245e-06,0.129314
0.13,0.000112037,9.9888,7.45312e-06,0.139255
0.14,0.000127548,9.98725,8.05775e-06,0.149194
0.15,0.000144061,9.98559,8.67735e-06,0.159132
0.16,0.000161576,9.98384,9.31293e-06,0.169069
0.17,0.000180095,9.98199,9.96549e-06,0.179003
0.18,0.000199616,9.98004,1.0636e-05,0.188936
0.19,0.000220142,9.97799,1.13256e-05,0.198867
0.2,0.000241671,9.97583,1.20351e-05,0.208796
0.21,0.000264204,9.97358,1.27657e-05,0.218723
0.22,0.000287742,9.97123,1.35183e-05,0.228648
0.23,0.000312285,9.96877,1.4294e-05,0.238571
0.24,0.000337833,9.96622,1.50937e-05,0.248491
0.25,0.000364388,9.96356,1.59185e-05,0.258408
0.26,0.000391948,9.96081,1.67694e-05,0.268323
0.27,0.000420516,9.95795,1.76474e-05,0.278235
0.28,0.000450091,9.95499,1.85535e-05,0.288145
0.29,0.000480674,9.95193,1.94889e-05,0.298051
0.3,0.000512265,9.94877,2.04544e-05,0.307955
0.31,0.000544865,9.94551,2.14512e-05,0.317855
0.32,0.000578475,9.94215,2.24802e-05,0.327752
0.33,0.000613095,9.93869,2.35425e-05,0.337646
0.34,0.000648726,9.93513,2.46392e-05,0.347536
0.35,0.000685368,9.93146,2.57712e-05,0.357423
0.36,0.000723022,9.9277,2.69397e-05,0.367306
0.37,0.000761689,9.92383,2.81456e-05,0.377185
0.38,0.000801369,9.91986,2.93901e-05,0.387061
0.39,0.000842063,9.91579,3.06741e-05,0.396933
0.4,0.000883772,9.91162,3.19988e-05,0.4068
0.41,0.000926497,9.90735,3.33651e-05,0.416663
0.42,0.000970237,9.90298,3.47741e-05,0.426523
0.43,0.001015,9.8985,3.6227e-05,0.436377
0.44,0.00106077,9.89392,3.77248e-05,0.446228
0.45,0.00110757,9.88924,3.92684e-05,0.456073
0.46,0.00115538,9.88446,4.08591e-05,0.465914
0.47,0.00120421,9.87958,4.24979e-05,0.47575
0.48,0.00125407,9.87459,4.41859e-05,0.485581
0.49,0.00130495,9.86951,4.59242e-05,0.495408
0.5,0.00135685,9.86432,4.77138e-05,0.505229
0.51,0.00140977,9.85902,4.95558e-05,0.515044
0.52,0.00146372,9.85363,5.14514e-05,0.524855
0.53,0.0015187,9.84813,5.34016e-05,0.53466
0.54,0.0015747,9.84253,5.54076e-05,0.544459
0.55,0.00163173,9.83683,5.74705e-05,0.554253
0.56,0.00168979,9.83102,5.95913e-05,0.564041
0.57,0.00174888,9.82511,6.17712e-05,0.573823
0.58,0.001809,9.8191,6.40113e-05,0.583599
0.59,0.00187015,9.81299,6.63128e-05,0.593369
0.6,0.00193233,9.80677,6.86768e-05,0.603132
0.61,0.00199555,9.80044,7.11044e-05,0.61289
0.62,0.00205981,9.79402,7.35967e-05,0.62264
0.63,0.0021251,9.78749,7.6155e-05,0.632385
0.64,0.00219143,9.78086,7.87803e-05,0.642122
0.65,0.0022588,9.77412,8.14738e-05,0.651853
0.66,0.00232721,9.76728,8.42368e-05,0.661576
0.67,0.00239666,9.76033,8.70702e-05,0.671293
0.68,0.00246715,9.75328,8.99754e-05,0.681002
0.69,0.00253869,9.74613,9.29536e-05,0.690705
0.7,0.00261127,9.73887,9.60058e-05,0.700399
0.71,0.0026849,9.73151,9.91333e-05,0.710087
0.72,0.00275958,9.72404,0.000102337,0.719766
0.73,0.0028353,9.71647,0.000105619,0.729438
0.74,0.00291208,9.70879,0.00010898,0.739102
0.75,0.00298991,9.70101,0.00011242,0.748758
0.76,0.0030688,9.69312,0.000115942,0.758406
0.77,0.00314874,9.68513,0.000119547,0.768045
0.78,0.00322973,9.67703,0.000123236,0.777676
0.79,0.00331179,9.66882,0.000127009,0.787299
0.8,0.0033949,9.66051,0.000130869,0.796913
0.81,0.00347908,9.65209,0.000134816,0.806518
0.82,0.00356432,9.64357,0.000138853,0.816115
0.83,0.00365062,9.63494,0.000142979,0.825702
0.84,0.00373799,9.6262,0.000147197,0.83528
0.85,0.00382643,9.61736,0.000151507,0.844849
0.86,0.00391594,9.60841,0.000155912,0.854409
0.87,0.00400651,9.59935,0.000160412,0.863959
0.88,0.00409817,9.59018,0.000165008,0.873499
0.89,0.00419089,9.58091,0.000169702,0.88303
0.9,0.0042847,9.57153,0.000174496,0.89255
0.91,0.00437958,9.56204,0.00017939,0.902061
0.92,0.00447554,9.55245,0.000184386,0.911561
0.93,0.00457258,9.54274,0.000189485,0.921051
0.94,0.00467071,9.53293,0.000194689,0.930531
0.95,0.00476992,9.52301,0.000199999,0.94
0.96,0.00487023,9.51298,0.000205416,0.949458
0.97,0.00497162,9.50284,0.000210943,0.958906
0.98,0.0050741,9.49259,0.000216579,0.968342
0.99,0.00517768,9.48223,0.000222327,0.977767
